,Slovenia
1995,21352224019.4096
1996,21507232648.7252
1997,20763101740.6963
1998,22146231967.6861
1999,22711384311.1404
2000,20289627636.6767
2001,20876309970.385
2002,23489890274.3142
2003,29634713641.0968
2004,34414784504.2352
2005,36206395970.6504
2006,39481045038.2637
2007,48067401207.3978
2008,55779427739.6609
2009,50567734885.9613
2010,48208240226.4501
2011,51583869785.1849
2012,46577793184.0031
2013,48415657264.8758
2014,49997186439.0916
2015,43107506024.3254
2016,44766722790.5826
2017,48589100043.0954
2018,54163591695.32
2019,54178877605.9999
2020,53589609580.7099
2021,61526331889.499
