,Small states
1970,7871338065.33795
1971,8855629123.81985
1972,10433482435.7277
1973,13002636421.8914
1974,20198257635.9923
1975,22993359910.822
1976,26246984872.3379
1977,29805805301.7733
1978,32045881468.65
1979,39768809429.2294
1980,52919334155.0731
1981,54682195976.9128
1982,54424002309.1272
1983,52651958653.9598
1984,52168755006.4152
1985,50249025221.2551
1986,49319123761.5303
1987,56334154638.2422
1988,62037578141.9618
1989,64542081238.2069
1990,74735531054.3571
1991,76319639863.9489
1992,81198409049.6674
1993,80092518590.2508
1994,84285749394.1332
1995,95870118577.1463
1996,101911861455.006
1997,108977520665.962
1998,108832037113.391
1999,116628929601.181
2000,129085340844.073
2001,129608212696.942
2002,138688094717.517
2003,165889564285.223
2004,199663296422.675
2005,237916023767.328
2006,277092032056.112
2007,332164019567.376
2008,400065321223.466
2009,342638916927.939
2010,393630210907.353
2011,474408948948.213
2012,494531210940.391
2013,514309588821.341
2014,530131033870.994
2015,452543098654.856
2016,444841632274.104
2017,481182224483.506
2018,528083646431.496
2019,520430771503.024
2020,452015509831.429
2021,526938134965.751
