,Solomon Islands
1967,25203524.0325638
1968,28084252.7582748
1969,28606411.398041
1971,50056882.8213879
1972,40606712.050639
1973,55272108.8435374
1974,84539332.282562
1975,74617096.4785967
1976,83099107.9066357
1977,93147039.2548237
1978,111022089.96223
1979,151270207.852194
1980,182852054.18211
1981,193750476.462092
1982,192901942.941136
1983,181220349.801554
1984,181570454.320107
1985,165524980.920416
1986,147620047.544946
1987,155128568.049167
1988,176494422.137054
1989,172882435.805604
1990,214877638.378336
1991,227536282.599086
1992,269034595.812985
1993,300749474.542774
1994,402831864.859938
1995,469443201.503274
1996,510580417.227456
1997,526559955.87721
1998,457584496.220616
1999,488028750.955954
2000,419845231.77897
2001,409507389.162562
2002,346405301.683262
2003,352531728.373679
2004,397557524.015659
2005,476836691.058314
2006,538614679.019646
2007,620211238.891793
2008,699203616.463816
2009,735997355.679702
2010,846767635.935272
2011,1049889691.54463
2012,1191045573.19991
2013,1284763287.27352
2014,1335584911.8002
2015,1307082934.28683
2016,1378543909.3128
2017,1483793468.06299
2018,1574622018.23326
2019,1570093229.25588
2020,1545888426.23031
2021,1645213881.62016
