,Somalia
1960,180459936.776025
1961,191659914.376034
1962,203531927.547229
1963,216145935.941626
1964,229529912.668035
1965,243724533.172801
1966,257374455.753265
1967,271780364.837811
1968,286718279.690322
1969,306357284.571429
1970,322600009.142857
1971,331102742.193418
1972,416942436.927838
1973,507028428.241662
1974,467577432.247816
1975,710850226.528991
1976,807275808.737093
1977,498550873.043478
1978,564986059.668508
1979,590419855.11811
1980,603592656.822209
1981,699112266.835764
1982,774419569.699066
1983,733901365.935354
1984,788307213.438235
1985,876404617.656501
1986,930318705.301335
1987,1009792724.42175
1988,1038291284.49695
1989,1092392963.1951
1990,917044228.00846
2013,4574495666.99509
2014,5021956321.12103
2015,5331761394.25487
2016,5529873479.87157
2017,5609000000.0
2018,5850677295.70037
2019,6476674591.87472
2020,6965285324.52156
2021,7292721820.00001
