,South Africa
1960,8748596504.23581
1961,9225996313.47639
1962,9813996078.52345
1963,10854195662.8805
1964,11955995222.6234
1965,13068994777.8911
1966,14211394321.4111
1967,15821393678.0875
1968,17124793157.2752
1969,19256992305.291
1970,21218391521.5551
1971,23411079378.0172
1972,24515911652.1848
1973,33262767310.8192
1974,41389185875.3114
1975,42906919870.1343
1976,41150449966.4624
1977,45328399963.0574
1978,51607399957.94
1979,63038687892.9693
1980,89411894560.978
1981,93141478234.6576
1982,85904070613.6117
1983,96204110958.8375
1984,84870134619.0537
1985,64459376104.0419
1986,73354782108.5899
1987,96535747615.4047
1988,103976854738.412
1989,108055603481.557
1990,126048148263.098
1991,135204432694.745
1992,146956872370.266
1993,147196639471.188
1994,153512625915.287
1995,171735223677.318
1996,163236785802.34
1997,168976663845.486
1998,152982541794.042
1999,151516560274.982
2000,151753369491.916
2001,135429607036.658
2002,129088132201.846
2003,197020241490.079
2004,255806631391.551
2005,288868489078.987
2006,303860874149.007
2007,333075462599.71
2008,316132138757.081
2009,329753048857.052
2010,417365076968.257
2011,458201514136.977
2012,434400545085.811
2013,400886013595.573
2014,381198869776.106
2015,346709790458.563
2016,323585509674.481
2017,381448814653.456
2018,404842116738.074
2019,387934574098.17
2020,335442101366.417
2021,419946428126.008
