,South Asia (IDA & IBRD)
1960,47170699607.6397
1961,50331770780.7503
1962,53721519493.6062
1963,60426255394.9631
1964,69179494304.2822
1965,74296512695.0863
1966,62475116958.6619
1967,68733357253.6191
1968,72039818016.5526
1969,79195490145.7585
1970,85737283039.7915
1971,91195879601.8945
1972,91680529302.7634
1973,104812500642.088
1974,126972253469.577
1975,135907831613.44
1976,132647805505.562
1977,153599832379.587
1978,174773663991.028
1979,195751155054.828
1980,236032168283.928
1981,250213642680.664
1982,258869159762.15
1983,274032732751.693
1984,272757831564.932
1985,296599020652.581
1986,314128066860.011
1987,348793876693.966
1988,374789764145.656
1989,378225266721.233
1990,407187370820.544
1991,362262532165.61
1992,384733617428.084
1993,381100277389.042
1994,432324272247.724
1995,479849581301.107
1996,524970419712.2
1997,550712123644.937
1998,558424594165.819
1999,598323918709.828
2000,630429061929.228
2001,645870123668.464
2002,677627487567.085
2003,791002717916.674
2004,917089339402.252
2005,1050585317863.97
2006,1196088039743.31
2007,1504193483987.56
2008,1527472685559.4
2009,1683433843105.38
2010,2060781299767.88
2011,2274498461334.74
2012,2300089514183.77
2013,2359608787133.38
2014,2584563411971.79
2015,2699434735086.94
2016,3005243895307.67
2017,3426790936090.99
2018,3527312593331.06
2019,3648731786168.25
2020,3482474115840.58
2021,4087773969795.48
