,St. Kitts and Nevis
1960,12366563.6119699
1961,12483229.3064224
1962,12541562.1536487
1963,12833226.3897801
1964,13416554.8620428
1965,13593932.3220537
1966,14469078.1796966
1967,16742338.2519864
1968,14600000.0
1969,15850000.0
1970,16300000.0
1971,19624746.4503043
1972,22944849.1155047
1973,24196018.3767228
1974,31514856.3078422
1975,33364055.2995392
1976,30095602.2944551
1977,44496296.2962963
1978,49433333.3333333
1979,58840740.7407407
1980,68459259.2592593
1981,80888888.8888889
1982,86022222.2222222
1983,86874074.0740741
1984,98603703.7037037
1985,111007407.407407
1986,130685185.185185
1987,147748148.148148
1988,172692592.592593
1989,192518518.518518
1990,217259259.259259
1991,220540740.740741
1992,242137037.037037
1993,263755555.555556
1994,295159259.259259
1995,313485185.185185
1996,333944444.444444
1997,374641307.974641
1998,383257331.40548
1999,406595484.373262
2000,421695769.843918
2001,458643829.014199
2002,481077373.669966
2003,469869869.86987
2004,506900000.0
2005,547203703.703704
2006,644414814.814815
2007,689285185.185185
2008,777691333.333333
2009,774273111.111111
2010,778718111.111111
2011,836092407.407407
2012,826231629.62963
2013,875376407.407407
2014,954062481.481481
2015,958407222.222222
2016,1008942296.2963
2017,1060638333.33333
2018,1078505888.88889
2019,1164877851.85185
2020,980905888.888889
2021,976150666.666667
