,St. Lucia
1980,170370370.37037
1981,194444444.444444
1982,183333333.333333
1983,197037037.037037
1984,251481481.481481
1985,284444444.444444
1986,340000000.0
1987,375555555.555556
1988,429629629.62963
1989,486666666.666667
1990,579629629.62963
1991,613703703.703704
1992,674074074.074074
1993,684814814.814815
1994,713703703.703704
1995,762962962.962963
1996,788888888.888889
1997,805925925.925926
1998,877407407.407407
1999,921851851.851852
2000,932592592.592592
2001,892592592.592592
2002,900000000.0
2003,987407407.407407
2004,1066666666.66667
2005,1135555555.55556
2006,1268319185.18519
2007,1336088814.81481
2008,1437731111.11111
2009,1401507888.88889
2010,1486758037.03704
2011,1576988407.40741
2012,1605146777.77778
2013,1664816740.74074
2014,1755130814.81481
2015,1808079888.88889
2016,1865513429.62963
2017,1996771440.74074
2018,2065127262.96296
2019,2118791548.14815
2020,1616772748.14815
2021,1764901133.33333
