,St. Vincent and the Grenadines
1960,13066557.7786852
1961,13999883.3343055
1962,14524878.959342
1963,13708219.0981742
1964,14758210.3482471
1965,15108207.4316047
1966,16099865.8344514
1967,15835177.9329133
1968,15350000.0
1969,16650000.0
1970,18450000.0
1971,20051648.1847182
1972,27585488.9918284
1973,30165373.6218865
1974,32924215.8581726
1975,33237164.715642
1976,32792480.9729606
1977,49353161.8518519
1978,60844771.4814815
1979,71096359.6296296
1980,82340339.6296296
1981,102086539.259259
1982,113759203.333333
1983,122255349.62963
1984,135024987.777778
1985,145641705.185185
1986,160846656.666667
1987,175580647.407407
1988,200726712.592593
1989,214745002.222222
1990,240366666.666667
1991,254829629.62963
1992,277955555.555556
1993,286307407.407407
1994,289437037.037037
1995,316007407.407407
1996,331488888.888889
1997,347770370.37037
1998,373618518.518519
1999,390718518.518519
2000,427946038.687133
2001,462072315.600659
2002,487763848.934593
2003,509090899.073489
2004,549900170.097826
2005,579948909.317389
2006,643501156.905918
2007,713596662.150052
2008,732663263.520122
2009,714300243.780263
2010,720447880.162422
2011,713796368.701918
2012,730032600.112785
2013,764781242.711841
2014,770901436.441118
2015,786554580.796867
2016,814302267.073348
2017,847620214.758074
2018,884328180.526933
2019,910149698.909411
2020,872134546.803407
2021,889775243.378352
