,Sub-Saharan Africa
1960,31167737396.6142
1961,32423376600.8132
1962,35082238991.4745
1963,40106482678.3006
1964,39377500625.5759
1965,43827107647.9386
1966,47271630525.2629
1967,46967009988.1703
1968,50270276288.3959
1969,57400955518.5357
1970,67416593874.587
1971,68823488219.2136
1972,77406276177.6161
1973,98951233385.8802
1974,128373288934.003
1975,141448022234.945
1976,152566101996.467
1977,167530277961.046
1978,185074021948.186
1979,222021591741.457
1980,281043731719.964
1981,388113154832.704
1982,356663166864.682
1983,313936764762.562
1984,274921105110.192
1985,253729509286.379
1986,260482283803.99
1987,296283782169.592
1988,312449231381.712
1989,318364050020.607
1990,373990476994.685
1991,389443067079.67
1992,355486979944.991
1993,334121040904.103
1994,325008009411.963
1995,376408281409.553
1996,392916805610.523
1997,407871965034.115
1998,394729779625.739
1999,398611922440.544
2000,423078020812.0
2001,405972584028.062
2002,441289921420.718
2003,556174888863.134
2004,691514609925.548
2005,821319019565.734
2006,968222095140.798
2007,1121962912786.48
2008,1274705836507.59
2009,1226024120750.42
2010,1451753409367.0
2011,1635062171988.2
2012,1700400038004.9
2013,1804729746760.4
2014,1868669322245.49
2015,1684987010408.75
2016,1572901440316.05
2017,1704395982149.33
2018,1732712178090.13
2019,1792077087975.3
2020,1706091668556.67
2021,1917904004877.71
