,Switzerland
1960,9522746719.21614
1961,10712712465.0522
1962,11879982758.5619
1963,13063643795.7884
1964,14480556571.5476
1965,15346741669.7575
1966,16480058704.8531
1967,17740013179.26
1968,18942729779.1
1969,20524886616.4789
1980,122660905890.076
1981,112339195092.149
1982,115140108850.909
1983,114730757467.486
1984,109547355832.66
1985,111073640470.473
1986,159223703930.18
1987,199403912956.009
1988,215721878630.493
1989,208280848462.62
1990,265987061618.198
1991,269127820781.032
1992,280156819798.037
1993,272466458446.129
1994,301628489434.818
1995,353132515010.571
1996,340471241909.385
1997,295121356714.67
1998,303882354117.809
1999,298520480628.412
2000,279841151705.353
2001,287226531168.523
2002,310175772488.13
2003,363063293977.872
2004,405531321270.607
2005,420544947799.55
2006,443801905407.561
2007,493537376707.764
2008,570304197211.707
2009,558199868578.256
2010,603434493402.679
2011,722038242134.62
2012,692109693986.886
2013,712748124222.61
2014,734396591036.932
2015,702149580770.901
2016,695600652899.283
2017,704478516963.855
2018,735539301552.674
2019,731767398052.879
2020,752248045730.11
2021,812866928867.47
