,Tonga
1975,32506741.7201204
1976,30036416.9619944
1977,34139387.8908849
1978,41567471.6721987
1979,44667002.0120724
1980,53260077.4311091
1981,62242013.3302689
1982,62068161.0711025
1983,60863963.963964
1984,64248354.5414656
1985,60058663.3144773
1986,68195855.6149733
1987,81667133.4546982
1988,106657267.367342
1989,106344854.986095
1990,113563821.577404
1991,132201141.446861
1992,137066290.550071
1993,138489884.393064
1994,195990986.21421
1995,208871665.748682
1996,222100576.345483
1997,214991452.314998
1998,191504892.761394
1999,199214633.22171
2000,204849612.592276
2001,181116952.7897
2002,182763693.916873
2003,202246959.690276
2004,230657965.488586
2005,261797606.149719
2006,292232117.078998
2007,298513956.159185
2008,344428609.006734
2009,312377379.297118
2010,366840012.442325
2011,414523388.461329
2012,470714083.426751
2013,450643615.180528
2014,439878828.008608
2015,437006227.162781
2016,420540178.571429
2017,460379144.989821
2018,489235527.395387
2019,512350059.421629
2020,488829964.070819
