,Tunisia
1965,991047619.047619
1966,1040952380.95238
1967,1085714285.71429
1968,1214666666.66667
1969,1289904761.90476
1970,1439238095.2381
1971,1685217058.71103
1972,2237476420.03773
1973,2730787476.28084
1974,3545933562.42841
1975,4328610489.68432
1976,4507929104.47761
1977,5109324009.32401
1978,5968044209.51466
1979,7188191881.91882
1980,8744134354.16152
1981,8428513568.24625
1982,8133401049.60217
1983,8350176782.55746
1984,8254891864.05767
1985,8410185739.96405
1986,9018136020.15113
1987,9696271268.25148
1988,10096292842.1543
1989,10102075213.3151
1990,12290568181.8182
1991,13074782608.6957
1992,15497286295.7938
1993,14608946896.483
1994,15632463424.2784
1995,18030876599.3444
1996,19587322786.1105
1997,20746360430.4187
1998,21803372266.6198
1999,22943685719.103
2000,21473261837.0176
2001,22066031834.2948
2002,23142153759.5836
2003,27453007372.9142
2004,31183059012.4448
2005,32273007553.5687
2006,34377310293.0128
2007,38914078351.8027
2008,44860969077.1853
2009,43454935940.1614
2010,46206091937.9628
2011,48122744708.0551
2012,47311159485.2423
2013,48684187850.0646
2014,50271072627.6727
2015,45780128466.5579
2016,44360614525.1397
2017,42164007605.1914
2018,42685972269.4473
2019,41772900763.3588
2020,42514151614.2796
2021,46840042941.4922
