,Turkiye
1960,13983572895.2772
1961,7988888888.88889
1962,8922222222.22222
1963,10355555555.5556
1964,11177777777.7778
1965,11966666666.6667
1966,14100000000.0
1967,15644444444.4444
1968,17500000000.0
1969,19466666666.6667
1970,17086956521.7391
1971,16275167785.2349
1972,20359154929.5775
1973,25633802816.9014
1974,35669064748.2014
1975,44763888888.8889
1976,51130434782.6087
1977,58683333333.3333
1978,65098765432.0988
1979,89327974276.5273
1980,68823684210.5263
1981,71040020140.4436
1982,64546332580.7583
1983,61678280115.4987
1984,59989909457.8379
1985,67234948264.5987
1986,75728009962.7878
1987,87172789528.3316
1988,90852814004.9917
1989,107143348667.094
1990,150676291094.21
1991,150027833333.333
1992,158459130434.783
1993,180169736363.636
1994,130690172297.297
1995,169485941048.035
1996,181475555282.555
1997,189834649111.257
1998,275967393939.394
1999,256385525071.633
2000,274302959053.103
2001,201751148417.102
2002,240253216295.117
2003,314592428076.487
2004,408876042651.701
2005,506308311476.63
2006,557057829051.453
2007,681337335021.874
2008,770462156204.38
2009,649272568774.193
2010,776992599946.766
2011,838762755164.179
2012,880556375779.51
2013,957783020853.031
2014,938952628604.067
2015,864316670330.882
2016,869692960365.551
2017,858996263095.858
2018,778471901665.148
2019,761004425605.414
2020,719954821683.31
2021,815271751724.423
