,Turkmenistan
1987,2336448598.13084
1988,3010033444.81605
1989,3007518796.99248
1990,3188097768.33156
1991,3208098919.0146
1992,3200539816.0601
1993,3179225948.58114
1994,2561118608.35516
1995,2482228439.71407
1996,2378759975.44506
1997,2450349634.47436
1998,2605688065.08338
1999,2450564467.58315
2000,2904662604.82053
2001,3534803921.56863
2002,4461978498.86577
2003,5977560877.44013
2004,6838351088.46688
2005,8103901996.37024
2006,10276674364.8961
2007,12664165103.1895
2008,19271523178.8079
2009,20214385964.9123
2010,22583157894.7368
2011,29233333333.3333
2012,35164210526.3158
2013,39197543859.6491
2014,43524210526.3158
2015,35799714285.7143
2016,36169428571.4286
2017,37926285714.2857
2018,40765428571.4286
2019,45231428571.4286
