,Tuvalu
1990,8824447.74022325
1991,9365165.91369372
1992,9742949.47121034
1993,9630762.95389637
1994,10886825.5592923
1995,11025945.1445515
1996,12334846.2320995
1997,12700905.4475286
1998,12757632.8684508
1999,13687141.1058778
2000,15074211.5027829
2001,13965035.6884245
2002,16842334.0215147
2003,19456514.6896686
2004,22797470.2162083
2005,22909507.4455899
2006,24096385.5421687
2007,28449502.1337127
2008,31873846.6700218
2009,28076743.0978007
2010,32104201.0640249
2011,39195461.5781331
2012,39345620.2112239
2013,38617493.7246573
2014,38759689.9224806
2015,36811659.5297123
2016,41629497.4724948
2017,45217657.8786021
2018,47818290.4961148
2019,54223149.1136601
2020,55054710.6186773
2021,63100961.5384615
