,Ukraine
1987,64087694038.2333
1988,74703517902.6642
1989,82709161099.1244
1990,81393558423.4406
1991,77350733982.4458
1992,73945908383.7046
1993,65607522123.8938
1994,52543387167.1759
1995,48214751923.5872
1996,44558075977.0429
1997,50150400171.8859
1998,41883241477.8526
1999,31580960681.7742
2000,32375280320.5765
2001,39309580983.2282
2002,43956369917.0202
2003,52010238715.8475
2004,67220154164.3166
2005,89239370109.4698
2006,111884752475.248
2007,148733861386.139
2008,188111140643.985
2009,121552777492.556
2010,141209864408.488
2011,169333048847.834
2012,182592416468.527
2013,190498811460.028
2014,133503411375.739
2015,91030959454.6961
2016,93355993628.5042
2017,112090530368.543
2018,130891049796.879
2019,153882982016.281
2020,156617861448.576
2021,200085537744.354
