,United Kingdom
1960,73233967692.1028
1961,77741965703.3544
1962,81247564156.8246
1963,86561961812.3249
1964,94407558351.1616
1965,101824755078.991
1966,108572752102.045
1967,113116888210.787
1968,107759910067.889
1969,116464702803.218
1970,130671946244.3
1971,148113896325.14
1972,169965034965.035
1973,192537971582.558
1974,206131369798.971
1975,241756637168.142
1976,232614555256.065
1977,263066457352.172
1978,335883029721.956
1979,438994070309.191
1980,564947710899.373
1981,540765675241.158
1982,515048916841.37
1983,489618008185.539
1984,461487097632.349
1985,489285164271.047
1986,601452653180.885
1987,745162608269.325
1988,910122732123.799
1989,926884816753.927
1990,1093169389204.55
1991,1142797178130.51
1992,1179659529659.53
1993,1061388722255.55
1994,1140489745944.29
1995,1346422597443.59
1996,1421514820592.82
1997,1559569417157.83
1998,1653391851606.49
1999,1685762821549.91
2000,1662127402027.54
2001,1643908161796.46
2002,1784076738609.11
2003,2057093877551.02
2004,2421814353716.59
2005,2544829090909.09
2006,2717059797608.1
2007,3106182472989.2
2008,2938882352941.18
2009,2425798410967.44
2010,2491110093454.18
2011,2674891473843.81
2012,2719158341005.79
2013,2803291406029.93
2014,3087165602962.86
2015,2956573778737.76
2016,2722851958486.23
2017,2699016715111.39
2018,2900791442554.06
2019,2878673912414.44
2020,2756900214107.32
2021,3186859739185.02
