,World
1960,1392052952993.82
1961,1448393308163.03
1962,1550299476381.12
1963,1671346856960.1
1964,1829998519951.39
1965,1993586721619.37
1966,2163554603422.97
1967,2302168217686.52
1968,2484824098408.08
1969,2740742548050.11
1970,2996751874566.97
1971,3310256396465.99
1972,3816543049772.11
1973,4656242717771.34
1974,5366744299137.13
1975,5977990452555.44
1976,6498374718554.37
1977,7349659974894.39
1978,8655208037897.4
1979,10052666106515.7
1980,11334888224376.5
1981,11725859638579.0
1982,11608057891935.4
1983,11838317276519.2
1984,12269792365284.9
1985,12860094462309.8
1986,15205315531175.4
1987,17307238004339.9
1988,19337997470087.4
1989,20194003803614.6
1990,22779978683109.7
1991,23759572449577.4
1992,25406106106319.1
1993,25821978923417.6
1994,27872255132401.2
1995,31043647879191.1
1996,31736660050489.3
1997,31620443662618.8
1998,31539957901617.9
1999,32737374968670.3
2000,33830878799862.5
2001,33615435966786.1
2002,34911427050143.3
2003,39146988388574.7
2004,44117601127347.2
2005,47779714794501.4
2006,51779845590495.9
2007,58355015091735.8
2008,64123704273248.7
2009,60809111827058.9
2010,66596051013842.7
2011,73853784046174.0
2012,75488064175234.4
2013,77607198470255.8
2014,79708812241364.8
2015,75179266270828.3
2016,76465590005079.0
2017,81403977427442.6
2018,86413032779060.0
2019,87652863215992.7
2020,84906814189239.5
2021,96100091004540.9
