,Zimbabwe
1960,1052990400.0
1961,1096646600.0
1962,1117601600.0
1963,1159511700.0
1964,1217138000.0
1965,1311435800.0
1966,1281749500.0
1967,1397002000.0
1968,1479599900.0
1969,1747998800.0
1970,1884206300.0
1971,2178716300.0
1972,2677729400.0
1973,3309353600.0
1974,3982161400.0
1975,4371300700.0
1976,4318372000.0
1977,4364382100.0
1978,4351600500.0
1979,5177459400.0
1980,6678868200.0
1981,8011373800.0
1982,8539700700.0
1983,7764067000.0
1984,6352125900.0
1985,5637259300.0
1986,6217523700.0
1987,6741215100.0
1988,7814784100.0
1989,8286322700.0
1990,8783816700.0
1991,8641481700.0
1992,6751472200.0
1993,6563813300.0
1994,6890675000.0
1995,7111270700.0
1996,8553146600.0
1997,8529571600.0
1998,6401968200.0
1999,6858013100.0
2000,6689957600.0
2001,6777384700.0
2002,6342116400.0
2003,5727591800.0
2004,5805598400.0
2005,5755215200.0
2006,5443896500.0
2007,5291950100.0
2008,4415702800.0
2009,9665793300.0
2010,12041655200.0
2011,14101920300.0
2012,17114849900.0
2013,19091020000.0
2014,19495519600.0
2015,19963120600.0
2016,20548678100.0
2017,17584890936.6523
2018,18115543790.7855
2019,19284289739.0517
2020,18051170798.941
2021,26217726717.3386
