DATE,MKTGDPTHA646NWDB
1960-01-01,2760747471.88624
1961-01-01,3034043574.06071
1962-01-01,3308912796.93487
1963-01-01,3540403456.55305
1964-01-01,3889129942.30769
1965-01-01,4388937649.03846
1966-01-01,5279230817.30769
1967-01-01,5638461442.30769
1968-01-01,6081009427.88461
1969-01-01,6695336567.30769
1970-01-01,7086538437.5
1971-01-01,7375000024.03846
1972-01-01,8177884552.88461
1973-01-01,10838587357.7466
1974-01-01,13703000530.0587
1975-01-01,14882747955.0328
1976-01-01,16985211146.0238
1977-01-01,19779315170.0237
1978-01-01,24006570178.1561
1979-01-01,27371699082.7126
1980-01-01,32353440726.8856
1981-01-01,34846107862.3673
1982-01-01,36589797857.4006
1983-01-01,40042826244.2337
1984-01-01,41797592963.4424
1985-01-01,38900692712.1496
1986-01-01,43096746122.4614
1987-01-01,50535438696.4094
1988-01-01,61667199834.7428
1989-01-01,72250877410.3183
1990-01-01,85343063965.9182
1991-01-01,98234695722.0341
1992-01-01,111452869378.467
1993-01-01,128889832382.818
1994-01-01,146683499005.964
1995-01-01,169278552851.272
1996-01-01,183035154107.494
1997-01-01,150180268649.388
1998-01-01,113675706127.265
1999-01-01,126668932159.508
2000-01-01,126392308497.749
2001-01-01,120296746256.631
2002-01-01,134300851255.002
2003-01-01,152280653543.725
2004-01-01,172895476152.592
2005-01-01,189318499954.003
2006-01-01,221758486880.313
2007-01-01,262942650543.771
2008-01-01,291383081231.82
2009-01-01,281710095724.761
2010-01-01,341105009515.333
2011-01-01,370818747396.833
2012-01-01,397558094269.877
2013-01-01,420333333333.333
2014-01-01,407339361695.577
2015-01-01,401399422442.967
2016-01-01,411755164832.674
2017-01-01,455220920571.129
